Ad clicked Date,Ad Title/Id
2023/06/26 19:57:38 UTC,207491556
2024/02/19 13:53:31 UTC,145111864
2023/06/21 11:33:02 UTC,238511143
2024/02/22 18:33:12 UTC,223634204
2023/06/23 14:26:26 UTC,220661194
2024/02/25 16:41:52 UTC,145111864
2023/06/23 17:49:24 UTC,264402566
2024/02/27 07:31:25 UTC,145111864
2023/06/27 03:35:14 UTC,253608486
2024/02/25 16:37:53 UTC,145111864
2023/06/24 18:26:47 UTC,249047383
2024/03/05 11:02:12 UTC,226174764
2023/06/26 19:57:47 UTC,207491556
2024/03/05 11:02:12 UTC,226174764
2023/06/29 07:27:08 UTC,145111864
2024/03/12 14:04:32 UTC,145111864
2023/06/25 07:30:14 UTC,250024953
2024/03/12 14:11:38 UTC,145111864
2023/06/25 09:56:20 UTC,219908644
2024/03/08 09:19:08 UTC,384613116
2023/06/21 11:33:02 UTC,238511143
2024/03/10 21:41:34 UTC,363147244
2023/06/23 14:29:16 UTC,218840854
2024/03/14 15:16:47 UTC,145111864
2023/06/27 13:25:45 UTC,253608486
2024/03/12 16:54:25 UTC,367332044
2023/06/21 11:33:01 UTC,238511143
2024/03/14 17:44:04 UTC,145111864
2023/06/27 09:32:48 UTC,246613543
2024/03/16 08:51:37 UTC,145111864
2023/06/22 11:58:41 UTC,145111864
2024/03/19 08:04:23 UTC,253608486
2023/06/23 14:26:24 UTC,220661194
2024/03/19 08:04:24 UTC,253608486
2023/07/06 06:35:05 UTC,213389534
2024/03/13 18:26:59 UTC,145111864
2023/07/03 13:11:12 UTC,218338124
2024/03/19 07:41:07 UTC,253608486
2023/07/03 16:04:20 UTC,243398193
2024/03/18 17:14:23 UTC,374064294
2023/07/12 13:34:42 UTC,145111864
2024/03/13 11:13:57 UTC,145111864
2023/06/27 13:29:57 UTC,253608486
2024/03/15 07:04:03 UTC,145111864
2023/07/29 17:05:37 UTC,260449386
2024/03/13 13:29:56 UTC,145111864
2023/08/01 16:06:36 UTC,251928763
2024/03/13 13:30:06 UTC,145111864
2023/08/02 12:17:52 UTC,254186553
2024/03/16 14:36:10 UTC,145111864
2023/08/01 07:51:23 UTC,145111864
2024/03/13 16:25:08 UTC,359783684
2023/08/06 13:51:38 UTC,251035663
2024/03/13 16:25:14 UTC,359783684
2023/08/11 06:31:36 UTC,223802644
2024/03/18 00:10:53 UTC,145111864
2023/08/12 16:16:26 UTC,249625483
2024/03/18 10:28:51 UTC,145111864
2024/06/25 08:13:21 UTC,375730203
2024/04/01 09:11:24 UTC,382028413
2024/06/25 08:13:26 UTC,375730203
2024/03/28 07:15:31 UTC,354173303
2024/06/25 08:13:39 UTC,375730203
2024/03/18 07:54:39 UTC,145111864
2024/07/04 05:10:43 UTC,409161334
2024/03/27 12:14:28 UTC,341026843
2024/07/12 18:49:43 UTC,464939146
2024/09/14 20:47:12 UTC,465334023
2024/07/15 19:30:29 UTC,441143293
2024/01/09 07:17:39 UTC,281655923
2024/07/25 19:19:35 UTC,463372083
2024/01/07 21:54:17 UTC,335800554
2024/07/21 05:34:54 UTC,470704006
2024/01/05 14:52:33 UTC,145111864
2023/08/26 18:50:50 UTC,284432716
2024/01/12 08:45:49 UTC,145111864
2023/08/22 14:45:27 UTC,111909064
2024/01/13 12:23:09 UTC,145111864
2023/08/23 18:11:31 UTC,227083454
2024/01/22 12:16:03 UTC,335498174
2023/08/25 12:02:59 UTC,145111864
2024/01/22 12:26:13 UTC,335498174
2023/08/23 12:04:25 UTC,145111864
2024/01/20 13:58:43 UTC,348003793
2023/08/27 05:45:46 UTC,135649434
2024/02/04 08:11:42 UTC,145111864
2023/08/27 05:46:05 UTC,135649434
2024/02/07 15:53:27 UTC,253608636
2023/08/27 05:46:25 UTC,135649434
2024/02/06 18:12:47 UTC,145111864
2023/08/27 05:46:38 UTC,135649434
2024/02/06 19:04:49 UTC,281654633
2023/08/26 18:19:35 UTC,270351424
2024/02/05 04:29:20 UTC,360543736
2023/08/24 19:16:33 UTC,145111864
2024/02/09 09:25:19 UTC,145111864
2023/08/28 11:56:56 UTC,226174764
2024/02/08 15:14:13 UTC,145111864
2023/08/28 10:08:39 UTC,226017864
2024/02/14 21:13:47 UTC,226174764
2023/09/01 09:53:50 UTC,227095434
2024/08/02 09:13:39 UTC,468211886
2024/03/30 21:53:30 UTC,376083003
2025/04/13 05:19:31 UTC,658596743
2023/09/06 12:21:57 UTC,270724174
2024/08/06 10:48:50 UTC,447547083
2024/04/14 10:15:29 UTC,389323314
2025/04/12 05:04:06 UTC,237255913
2023/09/02 06:36:29 UTC,279717083
2024/08/05 16:51:49 UTC,253608636
2024/04/15 20:26:43 UTC,382251294
2025/04/15 11:16:47 UTC,280829176
2024/08/17 08:47:13 UTC,345619396
2024/04/17 13:53:57 UTC,394838084
2025/04/15 11:16:53 UTC,280829176
2024/08/22 15:00:53 UTC,438521494
2024/04/18 05:29:32 UTC,373856114
2025/04/17 05:42:33 UTC,590237483
2024/08/22 15:00:56 UTC,438521494
2024/04/27 23:32:10 UTC,311999536
2025/04/17 05:42:37 UTC,590237483
2024/09/02 15:48:59 UTC,438532224
2024/04/27 23:32:15 UTC,311999536
2025/04/17 05:42:39 UTC,590237483
2024/09/05 13:05:47 UTC,435882644
2024/04/24 16:28:54 UTC,409962896
2025/04/18 04:23:45 UTC,647183854
2025/03/11 05:11:33 UTC,603394993
2024/04/30 06:55:13 UTC,359780364
2025/04/24 07:37:23 UTC,641094844
2025/03/23 11:42:01 UTC,623664644
2024/04/30 09:46:20 UTC,356441096
2024/05/12 18:46:07 UTC,391146586
2025/03/19 17:35:43 UTC,547201303
2024/04/27 20:09:52 UTC,311999536
2024/05/12 10:19:57 UTC,391146586
2025/03/27 15:03:43 UTC,629305613
2024/04/27 20:28:44 UTC,311999536
2024/05/12 10:19:57 UTC,391146586
2025/04/01 12:34:25 UTC,629247863
2024/04/27 20:28:49 UTC,311999536
2024/05/30 14:38:49 UTC,407870713
2025/04/01 12:35:35 UTC,629247863
2024/04/28 07:04:32 UTC,311999536
2024/05/27 09:37:36 UTC,404682173
2025/03/31 08:23:50 UTC,646447513
2024/04/30 07:27:48 UTC,389731264
2024/06/06 21:01:32 UTC,312028496
