Name,Number
Supply Chain Co-ordination and risk management,DSC4211A
SIOSCM: Operations strategy,DSC4211C
Special topics in logistics,LI5201
Special topics in supply chain management,LI5202
Transportation management and policy,TP5026
Analytical tools for consulting,DSC5211B
Engineering probability and simulation,IE5004
Supply chain management thinking and practice,LI5101
