ALERT_PARAMETERS,QUERY_CONTEXT,SAVED_SEARCH_ID
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{sortingType=RELEVANCE, keywords=lightspeed commerce, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:101282230}]}}, facets={}}",1742149947
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=group product manager, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:104802899, radiusInKms=40.2335}]}}, facets={}}",1740352771
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=senior product manager, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103644278}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",1732414867
"{smartExpansionEnabled=true, channels=[INAPP_NOTIFICATION, EMAIL], frequency=DAILY}","{keywords=senior product manager, spellCheckEnabled=true, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:100506914}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:2]}}}",1732414859
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{workflowContext={}, keywords=director of product management, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103035651}]}}, facets={workplaceTypes={selectedValues=[urn:li:workplaceType:1, urn:li:workplaceType:3, urn:li:workplaceType:2]}, employmentStatuses={selectedValues=[FULL_TIME]}}}",1724033563
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=lead product manager, workflowContext={savedSearch=urn:li:savedSearch:1393830114}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103035651}]}}, facets={}}",1393830114
"{channels=[EMAIL, INAPP_NOTIFICATION], frequency=DAILY}","{keywords=lead product manager, workflowContext={savedSearch=urn:li:savedSearch:1393802064}, searchLocation={com.linkedin.jobs.matching.SpecificSearchLocation={geoLocations=[{geo=urn:li:geo:103035651}]}}, facets={employmentStatuses={selectedValues=[FULL_TIME]}}}",1393802064
